"title","seasons","episodes","rating","year","genres","description","link","image"
"My First Girlfriend is a Gal","2","22","80","2017","Comedy | Ecchi | Romance | Slice of Life","Junichi is desperate to lose his virginity and seeks out Yukana for a good time. But his first mistake was thinking this gal was easy!","https://www.wakanim.tv/sc/v2/catalogue/show/972/my-first-girlfriend-is-a-gal","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/55_637242741031854961First-Girlfriend-Gal_Small.jpg"
"My Senpai is Annoying","2","24","88","2021","Comedy | Romance | Slice of Life","Igarashi is a young office worker. While Takeda, her superior, is constantly annoying her, she ends up getting attached to him.","https://www.wakanim.tv/sc/v2/catalogue/show/1523/my-senpai-is-annoying","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637687626980934706SA_Small.jpg"
"NekoparA","2","24","86","2020","Comedy | Romance | Slice of Life","Head to the Patisserie La Soleil where catgirls like Chocola, Vanilla and more are ready to serve!","https://www.wakanim.tv/sc/v2/catalogue/show/658/nekopara","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/33_637188495491368677Nekopara_Small_Dub.jpg"
"Nichijou - My Ordinary Life","4","52","88","2011","Comedy | Shounen | Slice of Life","Follow the adventures of three ordinary girls as they learn their most important lessons the hard way. Meanwhile, a pocket-sized professor makes life difficult for a robot who just wants to be normal.","https://www.wakanim.tv/sc/v2/catalogue/show/727/nichijou-my-ordinary-life","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262678998109024Nichijou_Small.jpg"
"Ninja Slayer From Animation","4","52","8","2015","Action | Comedy | Drama | Martial Arts | Sci-Fi | Supernatural","NINJA SLAYER is a ninja who kills other ninjas in the name of ninja vengeance. In a dystopian world, he stands alone.","https://www.wakanim.tv/sc/v2/catalogue/show/733/ninja-slayer-from-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/36_637267726013521799Ninja-Slayer_Small.jpg"
"NO GUNS LIFE","4","48","88","2019","Action | Sci-Fi | Seinen","Juzo Inui is an ex-soldier discharged after a terrible war. What makes him special? He has a giant revolver for a head, making him an Extend: a man enhanced with mechanical extensions. With no memories of his past, he makes a living by investigating crimes deep within the city’s underworld.","https://www.wakanim.tv/sc/v2/catalogue/show/550/no-guns-life","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213591578363401NGL-C2_Small.jpg"
"Noein: To Your Other Self","4","48","76","2005","Action | Adventure | Drama | Original | Romance | Sci-Fi | Slice of Life","She's the keystone in an interdimensional battle for the survival of all existence in the multiverse… All she wanted was a normal summer.","https://www.wakanim.tv/sc/v2/catalogue/show/676/noein-to-your-other-self","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/115_637247809644547219Noein_Small.jpg"
"No-Rin","2","24","66","2014","Comedy | Ecchi | Romance | Slice of Life","Hata Kosaku is crushed when his favorite idol retires from show biz. But his bad mood won't last long—she just transferred into his class!","https://www.wakanim.tv/sc/v2/catalogue/show/707/no-rin","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/273_637209003008571467No-Rin_Small.jpg"
"number24","1","12","84","2020","Slice of Life | Sport","Yuzuki Natsusa entered university as a promising rugby player, but he had to stop playing after a mysterious accident. Ueoka Ibuki, an older player, had to leave the team too.","https://www.wakanim.tv/sc/v2/catalogue/show/654/number24","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/71_637140092226352223N24_Small.jpg"
"Oh! Edo Rocket","4","52","0","2007","Comedy | Drama | Fantasy | Historical | Sci-Fi","For Seikichi, making things explode is a calling, and this little man with a big rocket has one goal: send his lady to the moon.","https://www.wakanim.tv/sc/v2/catalogue/show/1055/oh-edo-rocket","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/317_637318074942086721Oh-Edo-Rocket_Small.jpg"
