"title","seasons","episodes","rating","year","genres","description","link","image"
"Scared Rider Xechs","1","12","0","2016","Action | Adventure | Drama | Sci-Fi","Researcher Akira Asagi is elected leader of the Blue World in the fierce war against the Red World. She must take charge of combat unit “IS” comprised of six riders known as the Scared Rider Xechs. She will lead them in a war of reason versus instinct.","https://www.wakanim.tv/sc/v2/catalogue/show/783/scared-rider-xechs","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/115_637247801961875199Scar-red-Rider-Xechs_Small%20(1).jpg"
"Scarlet Nexus","4","52","84","2021","Action","Psychokinetic Yuito enlists to fight Earth’s enemy. But his teammate Kasane’s strange dreams drag the two into an unavoidable fate.","https://www.wakanim.tv/sc/v2/catalogue/show/1349/scarlet-nexus","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637607314036607523SN_Small.jpg"
"Scrapped Princess","4","48","80","2003","Action | Adventure | Comedy | Drama | Fantasy | Mecha | Sci-Fi | Shounen","Pacifica Cassul is living on the run, for prophecy has named her the poison that would destroy the world. But with her adoptive siblings at her side, she uncovers the incredible truth behind the prophecy and its ties to events from 5,000 years ago.","https://www.wakanim.tv/sc/v2/catalogue/show/737/scrapped-princess","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/304_637238492172816130Scrapped-Princess_Small.jpg"
"SD GUNDAM WORLD HEROES","2","24","50","2021","Action | Mecha","When a meteor strikes Neo World, an astrologer finds an amnesiac Gundam and an impending chaos spreading across the universe. With the help of a sword-wielding friend, he’ll embark on a quest to bring intergalactic peace.","https://www.wakanim.tv/sc/v2/catalogue/show/1340/sd-gundam-world-heroes","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637528966920941109GWH_Small.jpg"
"Seiyu's Life!","1","13","72","2015","Comedy | Slice of Life","Follow a rookie seiyu as she takes her first steps into the world of professional voice acting!","https://www.wakanim.tv/sc/v2/catalogue/show/1004/seiyus-life","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/96_637272897348876686SeiyusLife_Small.jpg"
"Selection Project","1","13","64","2021","Music | Original","At a time when becoming an idol is becoming increasingly difficult, the easiest way to do so is to win the Selection Project reality show.","https://www.wakanim.tv/sc/v2/catalogue/show/1399/selection-project","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/110_637686734318866766SP_Small.jpg"
"Selector Infected Wixoss","4","48","98","2014","Drama | Magic | Thriller","In the popular game WIXOSS, there are special cards that possess wills of their own. Ruko just found one and now she's heading into battle.","https://www.wakanim.tv/sc/v2/catalogue/show/711/selector-infected-wixoss","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/313_637212382011247218Selector_Small.jpg"
"SENRAN KAGURA S2","1","12","0","2018","Action | Comedy | Ecchi","Studying ancient ninjutsu at their hidden academy, the beauties of SENRAN KAGURA will prove they’ve got the technique to take on any enemy!","https://www.wakanim.tv/sc/v2/catalogue/show/1045/senran-kagura-s2","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316249922407835Senran-Kagura_Small.jpg"
"Servamp","2","24","72","2016","Action | Comedy | Josei | Magic | Supernatural | Vampire","After Mahiru Shirota rescues what he thought was an ordinary cat, he’s pulled into the world of servamps. Life couldn’t be more complicated!","https://www.wakanim.tv/sc/v2/catalogue/show/777/servamp","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/313_637212383441864312Servamp_Small.jpg"
"Seven Mortal Sins","1","13","90","2017","Ecchi | Fantasy","When Lucifer is cast to Hell, the Seven Mortal Sins seal her powers to maintain their hold over the realm. But Lucifer has other plans.","https://www.wakanim.tv/sc/v2/catalogue/show/1046/seven-mortal-sins","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316269719967068Seven-Mortal-Sins_Small.jpg"
"Shachibato! President, It's Time for Battle!","2","24","78","2020","Action | Adventure | Fantasy","The world used to be in a never-ending state of destruction.
A goddess came down from the sky and a giant portal appeared in the air. The people living in Gatepia noticed the presence of a miraculous energy inside it.","https://www.wakanim.tv/sc/v2/catalogue/show/850/shachibato-president-its-time-for-battle","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213585842638807Shachibato_Small.jpg"
"SHADOWS HOUSE","3","38","88","2021","Seinen | Slice of Life | Supernatural","High atop a cliff sits the mansion known as Shadows House, home to a faceless clan that pretends to live like nobles. They express their emotions through living dolls that also endlessly clean the home of soot.","https://www.wakanim.tv/sc/v2/catalogue/show/1311/shadows-house","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529540212104723SH_Small.jpg"
"She Professed Herself Pupil of the Wise Man","2","24","74","2021","Fantasy | Isekai","In his favorite MMO game, Sakimori Kagami plays as Dunbalf, an ultra-powerful wizard recognized by all other players.","https://www.wakanim.tv/sc/v2/catalogue/show/1352/she-professed-herself-pupil-of-the-wise-man","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637768256012387301PWM_Small.jpg"
"SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist","2","24","88","2015","Action | Comedy | Ecchi","Who is the panty-masked villainess spreading obscenity in a country where even the mildest off-color musing can land you in jail?","https://www.wakanim.tv/sc/v2/catalogue/show/1037/shimoneta-a-boring-world-where-the-concept-of-dirty-jokes-doesnt-exist","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/306_637291154343324191Shimoneta_Small.jpg"
"Shironeko Project: Zero Chronicle","2","24","56","2020","Action | Adventure | Drama | Fantasy | Romance","Long, long ago, there once was the Kingdom of White in the sky and the Kingdom of Black on earth. The two maintained balance as they revolved around one another.","https://www.wakanim.tv/sc/v2/catalogue/show/840/shironeko-project-zero-chronicle","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637214144707844559SPZC-2_Small.jpg"
"Shomin Sample","2","24","82","2015","Comedy | Ecchi | Romance","Kimito Kagurazaka is living an average life until he's forced to enroll in a secret academy for the richest, most elite young ladies.","https://www.wakanim.tv/sc/v2/catalogue/show/763/shomin-sample","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/313_637212384478299795Shomin-Sample_Small.jpg"
"Shonen Hollywood: Holly Stage for 49","2","26","10","2016","Drama | Music | Shoujo | Slice of Life","Five boys band together to form the next generation of Shonen Hollywood, a legendary idol group from their childhoods.","https://www.wakanim.tv/sc/v2/catalogue/show/782/shonen-hollywood-holly-stage-for-49","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/265_637261043340414167Shonen-Hollywood_Small.jpg"
"Shonen Maid","2","26","66","2016","Comedy | Shoujo | Slice of Life","Chihiro lands in the care of his uncle, Madoka, and has one job. Clean up after the messy young man. The catch—the maid outfit is mandatory!","https://www.wakanim.tv/sc/v2/catalogue/show/1054/shonen-maid","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/317_637318038505298305Shonen-Maid_Small.jpg"
"SHOW BY ROCK!!","9","108","90","2020","Comedy | Fantasy | Music","In Tokyo Midi City, music is everything and ""battle of the bands"" is more than just teen rivalry.","https://www.wakanim.tv/sc/v2/catalogue/show/689/show-by-rock","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/164_637226459586277190Show-by-Rock_Small.jpg"
"Show by Rock!! Stars!! (S4)",0,0,"90","2021","Comedy | Music","Show by Rock!! Stars!! (S4)","https://www.wakanim.tv/sc/v2/catalogue/show/1245/show-by-rock-stars-s4","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/71_637456368363417571SBR-S_Small.jpg"
"SK8 the Infinity","2","24","92","2021","Sport","High school students Reki and Langa are hooked on one thing—a dangerous, top secret, no-holds-barred downhill skateboarding race called “S.”","https://www.wakanim.tv/sc/v2/catalogue/show/1206/sk8-the-infinity","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/21_637452075610744326SK8_Small.jpg"
"Skate-Leading Stars","2","24","60","2021","Action | Adventure | Comedy | Drama | Fantasy | Seinen","The story of high-schoolers betting it all on skate-leading, an original group figure skating sport…","https://www.wakanim.tv/sc/v2/catalogue/show/1167/skate-leading-stars","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2312_637443265428448439SLS_Small.jpg"
"Sky Wizards Academy","2","24","76","2015","Action | Drama | Fantasy | Magic","Forced to retreat to floating cities due to an invasion of armored insects, humanity must depend on Sky Wizards to battle the menace.","https://www.wakanim.tv/sc/v2/catalogue/show/761/sky-wizards-academy","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262707265360303Sky-Wizards-Academy_Small.jpg"
"Sleepy Princess in the Demon Castle","2","24","88","2020","Comedy | Fantasy | Shounen | Slice of Life | Supernatural","Syalis is a princess. A really cute one. When she gets kidnapped by the Demon King as a hostage, she's stuck in a castle full of demons, waiting to be rescued by her knight in shining armor.","https://www.wakanim.tv/sc/v2/catalogue/show/1141/sleepy-princess-in-the-demon-castle","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/113_637510785208837508Sleepy-Princess_Small.jpg"
"Slow Loop","1","12","76","2022","Slice of Life | Sport","Hiyori and Koharu met by the sea. While nothing seemed to connect the two girls, they realize that they are going to become half-sisters. From this beautiful story of friendship and an initiation into fishing, dive into this feel good shojo!","https://www.wakanim.tv/sc/v2/catalogue/show/1688/slow-loop","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2712_637762095062672894SL_Small.jpg"
"Smile Down the Runway","2","24","88","2020","Comedy | Slice of Life","Fujito Chiyuki is 5 feet 2 but she wants to become a model and hit the Parisian catwalks. As she doesn’t fit the usual standards of the profession, her relatives advise her to give up, but she decides to persevere.","https://www.wakanim.tv/sc/v2/catalogue/show/631/smile-down-the-runway","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262745415190024SDR_Small.jpg"
"Snow White with the Red Hair","4","48","96","2015","Adventure | Drama | Fantasy | Historical | Romance | Shoujo","In the kingdom of Tanbarun lives Shirayuki, a lovely girl with gorgeous red hair. The Prince wants her for a concubine. She has other plans.","https://www.wakanim.tv/sc/v2/catalogue/show/734/snow-white-with-the-red-hair","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637214318206642356Snow-White_Small.jpg"
"Sonny Boy","2","24","90","2021","Sci-Fi","It’s an ordinary summer vacation...except Nagara’s high school has drifted into another dimension and his classmates are developing powers.","https://www.wakanim.tv/sc/v2/catalogue/show/1373/sonny-boy","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637607508473511719SB_Small.jpg"
"Sorcerous Stabber Orphen","4","50","58","2020","Action | Adventure | Comedy | Drama | Fantasy","The story takes place on an old continent where dragons used to live, but now they have been replaced by prosperous humans. Young Krylancelo Finlandi lives with his sister Azalie at the Tower of Fangs, an academy of witchcraft.","https://www.wakanim.tv/sc/v2/catalogue/show/607/sorcerous-stabber-orphen","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/71_637140090419680254Orphen_Small.jpg"
"Sorcerous Stabber Orphen: Battle of Kimluck",0,0,"58","2021","Action | Adventure | Drama | Fantasy | Magic | Martial Arts","STARTING JANUARY 20th","https://www.wakanim.tv/sc/v2/catalogue/show/1191/sorcerous-stabber-orphen-battle-of-kimluck","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/21_637452079162394778SSO_Small.jpg"
"Space Battleship Tiramisu","8","66","76","2018","Action | Adventure | Comedy | Sci-Fi","In preparation for his vital wartime missions, ace pilot Subaru Ichinose launches an all-out food-based assault on his own face.","https://www.wakanim.tv/sc/v2/catalogue/show/1005/space-battleship-tiramisu","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/26_637267094754480653Tiramisu_Small%20(1).jpg"
"Special 7: Special Crime Investigation Unit","1","13","66","2019","Action | Original | Police","A long time ago dragons ruled a world of elves, dwarves, vampires, homunculi, and humans. In the present dragons have all but disappeared, so the ones left chose to live together, and their appearance came to resemble that of humans.","https://www.wakanim.tv/sc/v2/catalogue/show/549/special-7-special-crime-investigation-unit","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637056029132596018S7_Small.jpg"
"SSSS.DYNAZENON","2","24","88","2021","Action | Mecha | Sci-Fi","When Yomogi Asanaka, a first-year student at Fujiyokidai High School, meets Gauma, he claims to be a “kaiju user.” But the appearance of a kaiju followed by the entry of the gigantic robot, Dynazenon, backs up his mysterious words.","https://www.wakanim.tv/sc/v2/catalogue/show/1265/ssssdynazenon","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529554291651329Dynazanon_Small.jpg"
"SSSS.Gridman","2","24","72","2018","Action | Mecha | Sci-Fi","When a behemoth threatens his city, Yuta is pulled into the digital world and reappears in the real one as the colossal hero—Gridman!","https://www.wakanim.tv/sc/v2/catalogue/show/802/ssssgridman","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/304_637238489479402057Gridman_Small.jpg"
"Star Blazers 2199","8","104","80","2012","Action | Adventure | Alternate history | Sci-Fi","The power-hungry Gamilas have taken over Earth, and only a distant planet has the key to save humans from extinction. Sent to retrieve it, the crew of the Space Battleship Yamato will stop at nothing to save their home.","https://www.wakanim.tv/sc/v2/catalogue/show/795/star-blazers-2199","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/84_637219350147218566star-blazers2199_small.jpg"
"STARMYU","1","12","78","2015","Comedy | Music | Slice of Life","Yuta Hoshitani, a first year at Ayanagi Academy, finds out about auditions for the musical department and applies with his new friend, Nayuki.","https://www.wakanim.tv/sc/v2/catalogue/show/768/starmyu","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/115_637247800907250377STARMYU_Small.png"
"Steins;Gate 0","6","50","90","2018","Drama | Romance | Sci-Fi | Thriller","Fueled by their imaginations, Okabe and his friends form a secret laboratory to unlock the mysteries of time travel.","https://www.wakanim.tv/sc/v2/catalogue/show/672/steinsgate-0","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147881442737140SteinsGate0Small.png"
"Steins;Gate: The Movie - Load Region of Déjà Vu","2","2","86","2013","Drama | Sci-Fi | Thriller","Fueled by their imaginations, Okabe and his friends form a secret laboratory to unlock the mysteries of time travel.","https://www.wakanim.tv/sc/v2/catalogue/show/674/steinsgate-the-movie-load-region-of-deja-vu","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/156_637278196824827989SteinsGate-The-Movie_Small.jpg"
"Strain: Strategic Armored Infantry","2","26","70","2006","Action | Drama | Ecchi | Mecha | Sci-Fi","Sara Werec yearns to become a mech pilot just like her brother. But after he launches a treacherous attack, her new mission is to learn why.","https://www.wakanim.tv/sc/v2/catalogue/show/809/strain-strategic-armored-infantry","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/67_637296294745077736Strain_Small.jpg"
"Strike Witches","4","48","66","2008","Action | Comedy | Ecchi","It's 1944, and the world lives in fear of alien invaders. It's up to the girls of the 501st Joint Fighter Wing, better known as the Strike Witches, to save the planet.","https://www.wakanim.tv/sc/v2/catalogue/show/1006/strike-witches","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/36_637267944606228678Strike-Witches_Small.jpg"
"Strike Witches: Road to Berlin","2","24","88","2020","Action | Ecchi | Magic | Sci-Fi","Allies around the world have formed an allied force to counter the sudden appearance of the human enemy ""Neuroi"".However, only girls with special magical powerscould compete with them ...","https://www.wakanim.tv/sc/v2/catalogue/show/1130/strike-witches-road-to-berlin","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/110_637371688345570264SW-RTB_Small.jpg"
"Strike Witches: The Movie","2","2","76","2012","Action | Ecchi | Magic | Original | Sci-Fi","Strike Witches, the 501st Joint Fighter Wing girls, are back from battle and ready to relax as best they can!","https://www.wakanim.tv/sc/v2/catalogue/show/724/strike-witches-the-movie","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/87_637298162344721893Strike_Witches_Movie_Small.jpg"
"Super Cub","1","12","98","2021","Slice of Life","There’s freedom in loneliness, and Koguma finds hers on a motorcycle. A Honda Super Cub motorcycle, to be exact. With no parents, friends, or plans for the future, Koguma’s daily detours on her way to school become her sole source of excitement.","https://www.wakanim.tv/sc/v2/catalogue/show/1304/super-cub","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/293_637526047341252973SC_Small.jpg"
"SUPER HXEROS","2","24","52","2020","Action | Comedy | Ecchi | Romance | Supernatural","Fight against libido-eating monsters in this adaptation of Kitada Ryoma's eponymous manga!","https://www.wakanim.tv/sc/v2/catalogue/show/1012/super-hxeros","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637292148283668942SH_Small%20(1).jpg"
"Suppose a Kid from the Last Dungeon Boonies moved to a Starter Town","2","24","82","2021","Adventure | Comedy | Fantasy","Considered a weakling his entire life, novice adventurer Lloyd leaves his village located at the fringe of the mortal world to fulfill his dream of becoming a soldier.","https://www.wakanim.tv/sc/v2/catalogue/show/1157/suppose-a-kid-from-the-last-dungeon-boonies-moved-to-a-starter-town","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/21_637452050166633869The-Last-Dungeon_Small_SC-DE.jpg"
"Taisho Otome Fairy Tale","1","12","88","2021","Comedy | Drama | Historical | Romance","Japan, Taisho era. Tamahiko Shima lost the use of his right hand after a terrible accident. Since, he lives as a sad hermit in the countryside.","https://www.wakanim.tv/sc/v2/catalogue/show/1497/taisho-otome-fairy-tale","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/1110_637695589965720319TOFT_Small.jpg"
"Talentless Nana","2","26","72","2020","Shounen | Supernatural | Thriller","Somewhere on an isolated island, there is a strange academy. Indeed, all its students have superpowers!","https://www.wakanim.tv/sc/v2/catalogue/show/1111/talentless-nana","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372566463829389Talentless-Nana_Small.jpg"
"Tales of Luminaria the Fateful Crossroad","2","4","100","2022","Fantasy","Long ago, this land was home to beasts the size of mountains. Mana overflowed from their remains, drawing people who sought that power, and civilizations sprang up.","https://www.wakanim.tv/sc/v2/catalogue/show/1725/tales-of-luminaria-the-fateful-crossroad","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/61_637770733963250048TL_Small.jpg"
"Tales of Zestiria the X","4","52","86","2016","Action | Adventure | Drama | Fantasy | Magic","The tale of the Shepherd, a savior who will bring peace to the seraphim and human worlds, becomes Sorey’s reality after a fateful encounter.","https://www.wakanim.tv/sc/v2/catalogue/show/779/tales-of-zestiria-the-x","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637215003082137778Zestiria_Small.jpg"
"TAMAYOMI: The Baseball Girls","2","24","78","2020","Action | Slice of Life | Sport","The best pitcher and the only catcher able to handle her, the two best friends (and Baseball fans), together for their first competition! 
TAMAYOMI: The Baseball Girls, is coming exclusively to Wakanim on April 1st!","https://www.wakanim.tv/sc/v2/catalogue/show/878/tamayomi-the-baseball-girls","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213436723817055Tamayomi_Small.jpg"
"Tesla Note","1","13","48","2021","Action | Shounen | Thriller","Their goal? To defeat the T-mission and save the world! A duo of Japanese spies are tasked with finding the ""Crystal Tesla"".","https://www.wakanim.tv/sc/v2/catalogue/show/1526/tesla-note",""
"That Time I Got Reincarnated as a Slime","4","48","92","2018","Action | Adventure | Comedy | Drama | Fantasy | Seinen","Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable—a slime.","https://www.wakanim.tv/sc/v2/catalogue/show/1284/that-time-i-got-reincarnated-as-a-slime",""
"The Betrayal Knows My Name","2","24","80","2010","Action | Drama | Fantasy | Romance | Supernatural | Yaoi","Kind-hearted Yuki Sakurai finds his life turned upside down the day a handsome stranger named Luka appears. Evil beings known as “Duras” begin hunting him and he’s thrust into a world filled with magic, terror, and terrible secrets. Who can he trust?","https://www.wakanim.tv/sc/v2/catalogue/show/741/the-betrayal-knows-my-name",""
"The Case Study of Vanitas","4","48","88","2021","Fantasy | Shounen | Supernatural","Noah has one goal in mind: to find the grimoire of Vanitas, a legendary artefact feared by all vampires. On the trail of the cursed book, he meets a man who introduces himself as... Vanitas himself! He wants to use the grimoire to save the vampire race. Will Noah follow Vanitas on his quest in a conflict that is beyond him?","https://www.wakanim.tv/sc/v2/catalogue/show/1383/the-case-study-of-vanitas",""
"The Day I Became a God","2","24","78","2020","Drama | Fantasy","What if you only had 30 days left before the end of the world? Narukami Yota enjoys his last holiday before college, when a self-proclaimed goddess named Hina appears before him...","https://www.wakanim.tv/sc/v2/catalogue/show/1080/the-day-i-became-a-god",""
"The Defective","1","16","76","2021","Action | Sci-Fi","Bilibili's adaptation of the novel by Priest.","https://www.wakanim.tv/sc/v2/catalogue/show/1455/the-defective",""
"The Detective is Already Dead","2","24","72","2021","Comedy | Drama | Romance","Kimihiko is the former assistant to a mysterious detective with whom he used to defy death to solve cases.","https://www.wakanim.tv/sc/v2/catalogue/show/1391/the-detective-is-already-dead",""
"The Disappearance of Nagato Yuki-chan","4","32","80","2015","Comedy | Romance | Slice of Life","Shy, awkward Yuki Nagato attempts to court her crush, Kyon, with the help of her best friend, the perky and indomitable Ryoko Asakura.","https://www.wakanim.tv/sc/v2/catalogue/show/731/the-disappearance-of-nagato-yuki-chan",""
"The Disastrous Life of Saiki K.","4","48","90","2016","Comedy | Slice of Life | Supernatural","Saiki Kusuo is a student with psychic powers. He’s kept his abilities in check since childhood, but high school is changing all his rules!","https://www.wakanim.tv/sc/v2/catalogue/show/811/the-disastrous-life-of-saiki-k",""
"The Duke of Death and His Maid","2","24","90","2021","Comedy | Drama | Romance","Due to a childhood curse, anything that the Duke touches will die—which makes his flirty maid’s behavior all the more shocking!","https://www.wakanim.tv/sc/v2/catalogue/show/1420/the-duke-of-death-and-his-maid",""
"The Dungeon of Black Company","2","24","80","2021","Comedy | Fantasy","Kinji is a world-class bum. After many profitable financial operations, he no longer needs to work and enjoys watching others kill themselves.","https://www.wakanim.tv/sc/v2/catalogue/show/1387/the-dungeon-of-black-company","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/276_637603953849010472TDoBC_Small.jpg"
"The Genius Prince's Guide to Raising a Nation Out of Debt","2","24","90","2022","Comedy | Fantasy","Prince Wein is ready to commit treason. And who can blame him?","https://www.wakanim.tv/sc/v2/catalogue/show/1585/the-genius-princes-guide-to-raising-a-nation-out-of-debt","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765619520402916GP_Small.jpg"
"The Gymnastics Samurai","2","22","84","2020","Sport","Jotaro Aragaki, former member of the national team, had given his whole life for gymnastics. However, things change one day…","https://www.wakanim.tv/sc/v2/catalogue/show/1083/the-gymnastics-samurai","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/110_637371644460213725Gymnastic-Samurai_Small.jpg"
"The Heike Story","2","22","92","2021","Historical","Get ready to experience a beautiful period piece unlike any other!","https://www.wakanim.tv/sc/v2/catalogue/show/1489/the-heike-story","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/169_637673813905910296HS_Small.jpg"
"The Helpful Fox Senko-San","1","12","94","2019","Comedy | Magic | Slice of Life | Supernatural","Sometimes the cure to a hard day’s work is the tender love and care of...a fox girl?! Salaryman Nakano’s stressful life is suddenly intruded upon by the fox, Senko-san, who is eager to help him heal his exhaustion.","https://www.wakanim.tv/sc/v2/catalogue/show/805/the-helpful-fox-senko-san","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/275_637577010920353352Helpful-Fox_Small.jpg"
"The Honor at Magic High School","2","26","76","2021","Fantasy | Magic | Sci-Fi","The long-awaited spin-off of The Irregular at Magic High School is here!","https://www.wakanim.tv/sc/v2/catalogue/show/1413/the-honor-at-magic-high-school","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637607336318078107THSMHS_Small%20(1).jpg"
"The irregular at magic high school","5","53","82","2014","Action | Adventure | Drama | Magic | Martial Arts","The seasons is now summer. The National Magic High School Goodwill Athletics Tournament a.k.a. The Nine Schools Competition is just around the corner. The young and the elite of all the nation’s magic high schools are ready to demonstrate their skills in the name of their pride.","https://www.wakanim.tv/sc/v2/catalogue/show/207/the-irregular-at-magic-high-school","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967477371625162The_Irregular_Small.png"
"The Irregular at Magic High School: Visitor Arc",0,0,"82","2020","Fantasy | Magic | Romance | Shounen | Supernatural","The Irregular at Magic High School: Visitor Arc","https://www.wakanim.tv/sc/v2/catalogue/show/1118/the-irregular-at-magic-high-school-visitor-arc","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372528594667807TheIrregular_S2_small.jpg"
"The Master of Ragnarok & Blesser of Einherjar","1","12","58","2018","Fantasy","Transported to another world, Yuuto is caught up in a whole new adventure with the beautiful maidens of Einherjar!","https://www.wakanim.tv/sc/v2/catalogue/show/1047/the-master-of-ragnarok-blesser-of-einherjar","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316314651633184Master-of-Ragnarok_Small.jpg"
"The Melancholy of Haruhi Suzumiya","4","56","82","2006","Comedy | Sci-Fi | Slice of Life | Supernatural","Haruhi Suzumiya dislikes all things ordinary. She’d much rather meet aliens, time-travelers, or ESPers but they’re not exactly showing up at school. So to make life more interesting, she’ll start her own club—The SOS Brigade!","https://www.wakanim.tv/sc/v2/catalogue/show/665/the-melancholy-of-haruhi-suzumiya","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147628194728859Haruhi-Suzumiya_Small.jpg"
